wget (1.21.3-1)
htop (3.2.0-1)
unibilium (2.1.1-1)
libtermkey (0.22-2)
libuv (1.43.0-1)
msgpack-c (4.0.0-1)
libvterm01 (0.1.4-2)
luajit (2.1.0.beta3.r404.g3ee3c9cf-1)
libluv (1.43.0_0-1)
tree-sitter (0.20.6-1)
neovim (0.7.0-3)
atool (0.39.0-8)
bzip2 (1.0.8-4)
gzip (1.12-1)
unzip (6.0-18)
unrar (1:6.1.7-1)
fzf (0.30.0-2)
ripgrep (13.0.0-2)
lazygit (0.34-2)
oniguruma (6.9.8-1)
bat (0.20.0-2)
docker-compose (2.5.0-1)
python-attrs (21.4.0-1)
python-docopt (0.6.2-11)
libraqm (0.9.0-1)
libimagequant (2.17.0-3)
python-pillow (9.1.0-1)
python-six (1.16.0-5)
python-xlib (0.31-3)
ueberzug (18.1.9-3)
ttf-dejavu (2.37+18+g9b5d1b2f-3)
ttf-liberation (2.1.5-1)
ttf-linux-libertine (5.3.0-8)
ttf-roboto (2.138-4)
ttf-ubuntu-font-family (0.83-8)
ttf-fira-mono (2:3.206-4)
ttf-fira-code (6.2-2)
ttf-hack (3.003-3)
otf-hermit (2.0-2)
ttc-iosevka (15.3.0-1)
ttf-jetbrains-mono (2.242-2)
ttf-input (20220502-1)
ttf-liberation (2.1.5-1)
ttf-joypixels (6.6.0-2)
rust (1:1.60.0-1)
xorg-twm (1.0.12-1)
libconfig (1.7.3-1)
libev (4.33-1)
picom (9.1-3)
paru (1.10.0-1)
graphicsmagick (1.3.38-2)
gsl (2.7.1-1)
enchant (2.3.3-1)
gspell (1.10.0-2)
libsigc++ (2.10.8-1)
glibmm (2.66.4-1)
cairomm (1.14.3-2)
pangomm (2.46.2-1)
atkmm (2.28.2-2)
gtkmm3 (3.24.6-1)
ragel (6.10-3)
gtest (1.11.0-3)
lib2geom (1.1-2)
boost-libs (1.78.0-2)
librevenge (0.0.4-3)
libwpd (0.10.3-3)
libcdr (0.1.7-4)
libwpg (0.3.3-2)
libvisio (0.1.7-7)
libxslt (1.1.35-1)
poppler (22.05.0-2)
poppler-glib (22.05.0-2)
potrace (1.16-2)
inkscape (1.1.2-3)
gtk-engine-murrine (0.98.2-4)
adwaita-icon-theme (42.0+r1+gc144c3d75-1)
imlib2 (1.9.0-3)
sxiv (26-1)
rust (1:1.60.0-1)
joshuto-git (r1084.c73ada8-1)
ueberzug (18.1.9-3)
ffmpegthumbnailer (2.2.2-4)
bat (0.20.0-2)
atool (0.39.0-8)
libidn (1.38-1)
lynx (2.8.9-5)
w3m (0.5.3.git20220409_1-1)
libspiro (1:20200505-2)
woff2 (1.0.2-3)
libuninameslist (20211114-1)
fontforge (20220308-1)
jsoncpp (1.9.5-2)
rhash (1.4.2-1)
cmake (3.23.1-1)
ninja (1.10.2-1)
fontforge-git (1:20220308.r24.g566b261a8-1)
xdotool (3.20211022.1-1)
liblqr (0.4.2-3)
imagemagick (7.1.0.34-1)
fontpreview-git (1.0.6.r5.g467befa-1)
dmenu (5.1-1)
file (5.41-1)
python-chardet (4.0.0-5)
xarchiver (0.5.4.17-1)
sxhkd (0.6.2-2)
yajl (2.1.0-5)
gnome-themes-extra (3.28+r6+g45b1d457-1)
gnome-themes-extra (3.28+r6+g45b1d457-1)
feh (3.8-2)
gtkmm (1:2.24.5-4)
nitrogen (1.6.1-4)
python-appdirs (1.4.4-6)
python-msgpack (1.0.3-1)
python-urllib3 (1.26.9-1)
python-idna (3.3-4)
python-requests (2.27.1-1)
python-cachecontrol (1:0.12.6-4)
python-colorama (0.4.4-6)
python-contextlib2 (0.6.0.post1-6)
python-distlib (0.3.4-1)
python-more-itertools (8.12.0-2)
python-ordered-set (4.0.2-6)
python-pyparsing (3.0.8-1)
python-packaging (21.3-1)
python-setuptools (1:60.5.0-1)
python-distro (1.7.0-1)
python-webencodings (0.5.1-9)
python-html5lib (1.1-11)
python-tomli (2.0.1-1)
python-pep517 (0.12.0-4)
python-progress (1.6-5)
python-retrying (1.3.3-13)
python-resolvelib (0.5.5-4)
python-toml (0.10.2-7)
python-ply (3.11-10)
python-pycparser (2.21-3)
python-cffi (1.15.0-3)
python-cryptography (37.0.0-1)
python-pyopenssl (22.0.0-1)
python-pip (21.0-1)
fmt (8.1.1-2)
gtksourceview3 (3.24.11+28+g73e57b57-1)
gtksourceviewmm (1:3.18.0-5)
libxml++2.6 (2.42.1-1)
uchardet (0.0.7-1)
cherrytree (0.99.47-1)
run-parts (5.5-1)
cronie (1.6.1-1)
libnma-common (1.8.38-1)
dnssec-anchors (20190629-3)
ldns (1.8.1-1)
openssh (9.0p1-1)
gcr (3.41.0-2)
libnma (1.8.38-1)
nm-connection-editor (1.26.0-1)
libnotify (0.7.12-1)
libdbusmenu-glib (16.04.0-5)
libdbusmenu-gtk3 (16.04.0-5)
libindicator-gtk3 (12.10.1-10)
libappindicator-gtk3 (12.10.0.r296-2)
network-manager-applet (1.26.0-1)
strace (5.17-1)
lua (5.4.4-1)
wireless_tools (30.pre9-3)
libxnvctrl (515.43.04-1)
conky (1.12.2-2)
xdo (0.5.7-2)
xorg-xev (1.2.4-1)
libotf (0.9.16-3)
m17n-db (1.8.0-3)
libyuv (r2322+3aebf69d-1)
libavif (0.10.1-1)
libde265 (1.0.8-2)
libheif (1.12.0-3)
gd (2.3.3-4)
m17n-lib (1.8.0-12)
emacs (28.1-7)
libxss (1.2.3-3)
dunst (1.8.1-1)
mkinitcpio-welcomemessage (0.0.0-1)
leafpad (0.8.18.1-9)
libvoikko (4.3.1-2)
qt6-tools (6.3.0-1)
qt6-declarative (6.3.0-2)
qt6-quicktimeline (6.3.0-1)
qt6-quick3d (6.3.0-1)
qt6-webchannel (6.3.0-1)
qt6-positioning (6.3.0-1)
snappy (1.1.9-2)
minizip (1:1.2.12-2)
re2 (1:20220401-1)
qt6-webengine (6.3.0-2)
qt6-serialport (6.3.0-1)
qt6-shadertools (6.3.0-1)
qt6-5compat (6.3.0-2)
compiler-rt (13.0.1-1)
clang (13.0.1-2)
clazy (1.11-1)
yaml-cpp (0.7.0-2)
qtcreator (7.0.1-2)
qt5-translations (5.15.4+kde+r2-1)
qt5-base (5.15.4+kde+r135-1)
qt5-svg (5.15.4+kde+r10-1)
qt5ct (1.5-2)
dosfstools (4.2-2)
qt5-styleplugins (5.0.0.20170311-28)
dconf-editor (3.38.3-1)
tree (2.0.2-1)
xorg-xsetroot (1.1.2-2)
xorg-xset (1.2.4-2)
xorg-xdpyinfo (1.3.3-4)
autorandr (1.12.1-2)
gpick (0.2.6-4)
figlet (2.2.5-4)
figlet-fonts-extra (1.0-1)
figlet-fonts (1.0-3)
libplist (2.2.0-5)
libusbmuxd (2.0.2-1)
usbmuxd (1.1.1-1)
libimobiledevice (1.3.0-5)
upower (0.99.17-1)
bash-completion (2.11-2)
i2c-tools (4.3-3)
ddcutil (1.2.2-1)
libmodule (5.0.1-1)
clightd-git (5.6.r2.g95c7188-1)
clight-git (4.8.r1.g409b255-2)
perl-encode-locale (1.05-8)
perl-http-date (6.05-4)
perl-file-listing (6.15-1)
perl-html-tagset (3.20-11)
perl-clone (0.45-3)
perl-io-html (1.004-2)
perl-lwp-mediatypes (6.04-1)
perl-uri (5.10-1)
perl-http-message (6.36-1)
perl-html-parser (3.78-1)
perl-http-cookies (6.10-2)
perl-http-daemon (6.14-1)
perl-http-negotiate (6.01-9)
perl-net-http (6.22-1)
perl-try-tiny (0.31-1)
perl-www-robotrules (6.02-9)
perl-libwww (6.60-1)
perl-xml-parser (2.46-3)
intltool (0.51.0-6)
acpi (1.7-3)
vattery (0.7.5-3)
acpi (1.7-3)
trayclock (0.3.7-4)
conky (1.12.2-2)
fish (3.4.1-1)
lxappearance (0.6.3-4)
sweet-dark-theme (3.0-1)
xcur2png (0.7.1-7)
phinger-cursors (1.1-3)
flatwoken-icons-git (r669.aa7b4a4-3)
c-ares (1.18.1-1)
nodejs (18.1.0-1)
nodejs-nopt (5.0.0-2)
semver (7.3.7-1)
node-gyp (9.0.0-1)
npm (8.5.5-1)
yarn (1.22.18-1)
python2 (2.7.18-5)
jq (1.6-4)
python-argcomplete (2.0.0-1)
python-xmltodict (0.12.0-8)
libyaml (0.2.5-1)
python-yaml (6.0-1)
yq (2.14.0-1)
electron (18.2.1-1)
libgsf (1.14.49-1)
cfitsio (1:4.1.0-1)
hwloc (2.7.1-1)
openmpi (4.1.2-1)
fftw (3.3.10-2)
imath (3.1.5-1)
openexr (3.1.5-1)
libcgif (0.3.0-1)
libvips (8.12.2-1)
fontpreview-ueberzug-git (r48.77a094c-1)
xdg-user-dirs (0.17-3)
dex (0.9.0-1)
hdparm (9.63-2)
google-chrome (101.0.4951.64-1)
media-player-info (24-2)
libatasmart (0.19-5)
btrfs-progs (5.17-1)
dmraid (1.0.0.rc16.3-13)
gptfdisk (1.0.9-1)
libbytesize (2.6-3)
libaio (0.3.113-1)
thin-provisioning-tools (0.9.0-1)
lvm2 (2.03.15-1)
mdadm (4.2-2)
iniparser (4.1-4)
ndctl (73-1)
parted (3.5-1)
volume_key (0.3.12-7)
libinih (55-2)
liburcu (0.13.1-1)
xfsprogs (5.16.0-1)
libblockdev (2.26-3)
udisks2 (2.9.4-1)
solid (5.94.0-1)
kcoreaddons (5.94.0-1)
kwidgetsaddons (5.94.0-1)
qt5-x11extras (5.15.4+kde+r0-1)
kjobwidgets (5.94.0-1)
kdbusaddons (5.94.0-1)
kconfig (5.94.0-1)
kwindowsystem (5.94.0-1)
kcrash (5.94.0-1)
kglobalaccel (5.94.0-1)
polkit-qt5 (0.114.0-1)
kauth (5.94.0-1)
kcodecs (5.94.0-1)
qt5-declarative (5.15.4+kde+r17-1)
qt5-wayland (5.15.4+kde+r38-1)
kguiaddons (5.94.0-1)
ki18n (5.94.0-1)
kconfigwidgets (5.94.0-1)
kitemviews (5.94.0-1)
karchive (5.94.0-1)
kiconthemes (5.94.0-1)
kxmlgui (5.94.0-1)
kbookmarks (5.94.0-1)
sound-theme-freedesktop (0.8-4)
libcanberra (1:0.30+r2+gc0620e4-1)
libdbusmenu-qt5 (0.9.3+16.04.20160218-6)
gstreamer (1.20.2-1)
gst-plugins-base-libs (1.20.2-1)
cdparanoia (10.2-8)
libvisual (0.4.0-8)
graphene (1.10.8-1)
gst-plugins-base (1.20.2-1)
openal (1.22.0-1)
qt5-multimedia (5.15.4+kde+r0-1)
qt5-speech (5.15.4+kde+r1-1)
knotifications (5.94.0-1)
kservice (5.94.0-1)
kwallet (5.94.0-1)
kcompletion (5.94.0-1)
sonnet (5.94.0-1)
ktextwidgets (5.94.0-1)
kded (5.94.0-1)
kio (5.94.0-1)
kpackage (5.94.0-1)
attica (5.94.0-1)
syndication (5.94.0-1)
knewstuff (5.94.0-1)
kparts (5.94.0-1)
syntax-highlighting (5.94.0-1)
editorconfig-core-c (0.12.5-1)
ktexteditor (5.94.0-1)
kactivities (5.94.0-1)
kuserfeedback (1.2.0-1)
kate (22.04.1-1)
kvantum (1.0.1-2)
kpty (5.94.0-1)
kdesu (5.94.0-1)
harfbuzz-icu (4.2.1-1)
libwpe (1.12.0-2)
wpebackend-fdo (1.12.0-2)
hyphen (2.8.8-3)
bubblewrap (0.6.2-1)
xdg-dbus-proxy (0.1.4-1)
gstreamer (1.20.2-1)
gst-plugins-base-libs (1.20.2-1)
libmanette (0.2.6-3)
webkit2gtk (2.36.1-1)
yad (12.0-1)
miniconda3 (4.11.0-1)
nodejs (18.1.0-1)
python2 (2.7.18-5)
vim-runtime (8.2.4827-1)
vim (8.2.4827-1)
docbook-xml (4.5-9)
docbook-xsl (1.79.2-7)
glib2-docs (2.72.1-1)
python-lxml (4.8.0-1)
python-pygments (2.12.0-1)
python-anytree (2.8.0-5)
gtk-doc (1.33.2-1)
python-markupsafe (2.1.1-1)
python-beaker (1.11.0-8)
python-mako (1.1.6-3)
python-zipp (3.8.0-1)
python-importlib-metadata (4.8.1-3)
python-markdown (3.3.7-1)
gobject-introspection-runtime (1.72.0-1)
gobject-introspection (1.72.0-1)
autoconf-archive (1:2022.02.11-1)
yelp-xsl (42.0-1)
itstool (1:2.0.7-1)
mallard-ducktype (1.0.2-8)
yelp-tools (42.0-1)
gnome-common (3.18.0-4)
libgnome-keyring (3.12.0+13+g4f8ab73-3)
libgtop (2.40.0+2+g31db82ef-2)
gconf (3.2.6+11+g07808097-10)
libgksu (2.0.12-9)
gksu (2.0.2-6)
gruvbox-dark-gtk (1.0.2-1)
colorpicker-ym1234-git (r23.3b5076f-1)
cairo (1.17.6-2)
python-cairo (1.21.0-1)
arcolinux-logout (22.05_27-1)
gobject-introspection-runtime (1.72.0-1)
python-gobject (3.42.1-1)
jbig2dec (0.19-1)
libpaper (1.1.28-1)
ijs (0.35-3)
ghostscript (9.56.1-1)
perl-ipc-run3 (0.048-9)
paper (2.3-2)
psutils (2.05-1)
python-future (0.18.2-7)
python-dateutil (2.8.2-4)
python-pytz (2022.1-1)
python-icalendar (4.0.9-3)
python-greenlet (1.1.2-3)
python-sqlalchemy (1.4.35-1)
python-hamster-lib-git (0.13.1.r32.gea3ec9a-1)
libxres (1.2.1-1)
libwnck3 (40.1-1)
xclip (0.13-3)
a52dec (0.7.4-11)
libdvbpsi (1:1.3.3-2)
libdca (0.0.7-1)
lua52 (5.2.4-5)
libebml (1.4.2-2)
libmatroska (1.6.3-2)
taglib (1.12-1)
libmpcdec (1:0.1+r475-3)
ffmpeg4.4 (4.4.1-5)
faad2 (2.10.0-1)
libmad (0.15.1b-9)
libmpeg2 (0.5.1-7)
libtar (1.2.20-6)
libupnp (1.14.12-3)
glslang (11.9.0-1)
spirv-tools (2022.1-1)
shaderc (2022.1-3)
libplacebo (4.192.1-2)
wayland-protocols (1.25-1)
vlc (3.0.17.4-3)
gst-libav (1.20.2-1)
libdvdread (6.1.2-1)
libsidplay (1.36.59-10)
libcddb (1.3.2-6)
libcdio (2.1.0-2)
gst-plugins-ugly (1.20.2-1)
imagemagick-doc (7.1.0.35-1)
python-markupsafe (2.1.1-1)
python-beaker (1.11.0-8)
python-mako (1.1.6-3)
python-zipp (3.8.0-1)
python-importlib-metadata (4.8.1-3)
python-markdown (3.3.7-1)
gobject-introspection (1.72.0-1)
docbook-xml (4.5-9)
docbook-xsl (1.79.2-7)
glib2-docs (2.72.1-1)
python-lxml (4.8.0-1)
python-pygments (2.12.0-1)
python-anytree (2.8.0-5)
gtk-doc (1.33.2-1)
netpbm (10.73.37-1)
gts (0.7.6.121130-2)
gsfonts (20200910-2)
graphviz (3.0.0-1)
vala (0.56.1-1)
python-docutils (1:0.16-2)
python-jinja (1:3.0.3-2)
python-smartypants (2.0.1-9)
python-typogrify (2.0.7-12)
gi-docgen (2022.1-1)
librsvg-git (2:2.54.3.r2.ge6607c9a-1)
xclip (0.13-3)
xsel (1.2.0.20200527-1)
protobuf (3.20.1-2)
clang (13.0.1-2)
libxcb (1.15-1)
nodejs (18.2.0-1)
nvm-git (0.39.1.r17.gef3b20c-1)
libyaml (0.2.5-1)
rubygems (3.3.8-1)
ruby-reline (0.3.1-1)
ruby-irb (1.4.1-1)
ruby (3.0.4-1)
python-pycryptodome (3.14.1-1)
python-isodate (0.6.1-1)
python-pycountry (22.3.5-1)
python-pysocks (1.7.1-7)
python-websocket-client (1.3.2-1)
streamlink (4.0.1-1)
yad (12.0-1)
idesk (0.7.5-10)
dragon-drop-git (1.2.0.r2.g379d2f5-1)
gtk-engines (2.21.0-5)
perl-encode-locale (1.05-8)
perl-http-date (6.05-4)
perl-file-listing (6.15-1)
perl-html-tagset (3.20-11)
perl-clone (0.45-3)
perl-io-html (1.004-2)
perl-lwp-mediatypes (6.04-1)
perl-uri (5.10-1)
perl-http-message (6.36-1)
